loss,params,iteration,estimators,train_time
False,False,2,19
False,True,2,11
False,False,1,33
False,True,1,22
False,True,2,22
False,True,1,22
False,True,2,24
True,True,1,18
True,True,2,35
True,False,2,29
loss,params,iteration,estimators,train_time
False,True,2,28
True,True,2,7
True,True,2,20
False,True,1,2
True,False,1,38
True,True,2,39
False,False,1,1
True,False,1,16
True,True,2,19
True,True,2,37
loss,params,iteration,estimators,train_time
True,False,2,48
True,True,2,12
False,False,2,47
False,False,1,21
False,True,2,21
False,False,2,36
True,True,2,40
True,True,2,35
True,False,2,23
False,False,2,22
loss,params,iteration,estimators,train_time
False,False,2,47
False,False,1,27
True,False,1,39
False,True,1,18
False,False,1,22
True,False,2,8
True,True,1,14
False,False,2,41
False,False,2,9
False,True,2,47
loss,params,iteration,estimators,train_time
True,False,2,11
False,False,2,30
True,True,2,17
True,False,1,25
True,False,2,12
True,True,2,18
True,False,1,49
False,False,2,23
False,True,2,34
True,False,2,12
loss,params,iteration,estimators,train_time
False,True,1,3
False,True,1,49
True,False,1,40
True,True,1,14
False,False,1,45
True,True,2,31
True,False,2,8
True,False,2,5
True,True,2,35
True,False,2,41
loss,params,iteration,estimators,train_time
False,False,"(3,)",42
False,True,"(2, 3)",38
True,True,"(2, 3)",8
False,False,"(1, 3)",44
True,False,"(1, 3)",36
False,True,"(2, 3)",13
False,False,"(3,)",13
False,False,"(2, 3)",8
True,False,"(1, 3)",24
False,False,"(3,)",34
loss,params,iteration,estimators,train_time
loss,params,iteration,estimators,train_time
False,False,[3],6
False,False,[3],19
True,False,[3],46
True,False,"[2, 3]",11
False,False,[3],19
True,True,"[1, 3]",40
True,True,"[2, 3]",5
False,False,"[1, 3]",45
True,False,[3],21
False,True,[3],47
loss,params,iteration,estimators,train_time
True,True,"[1, 3]",44
True,False,"[1, 3]",25
True,True,[3],38
True,True,"[1, 3]",14
True,False,[3],46
True,True,[3],10
False,False,[3],22
True,True,"[2, 3]",6
True,True,"[1, 3]",36
False,True,[3],9
loss,params,iteration,estimators,train_time
False,False,[3],38
True,True,[3],28
True,True,[2],8
False,False,"[2, 3]",13
True,False,[3],12
False,False,[3],43
False,False,[3],15
False,True,"[1, 3]",23
True,False,[3],4
False,False,[3],13
loss,params,iteration,estimators,train_time
False,False,"[2, 3]",13
True,False,"[2, 3]",9
True,True,"[2, 3]",49
True,False,"[1, 3]",19
True,False,"[1, 3]",33
False,True,"[2, 3]",13
False,True,[3],10
False,False,"[1, 3]",40
True,True,[3],41
True,False,"[1, 3]",42
loss,params,iteration,estimators,train_time
False,False,"[0, 3]",7
True,True,"[2, 3]",28
True,True,"[1, 3]",12
False,False,[3],39
True,False,[3],40
False,False,"[1, 3]",37
False,False,[3],19
True,True,[3],18
False,True,"[2, 3]",48
True,True,[3],48
loss,params,iteration,estimators,train_time
False,False,"[0, 1]",40
False,True,[0],18
True,False,"[0, 1]",16
True,False,"[0, 1]",9
False,False,"[0, 1]",36
True,False,"[0, 1]",21
False,True,[0],48
True,False,[0],30
False,False,"[0, 1]",11
True,False,"[0, 1]",48
loss,params,iteration,estimators,train_time
False,False,"[0, 1]",19
False,False,"[0, 1]",45
False,True,[0],15
True,True,[2],19
False,False,[0],40
True,False,[2],18
True,False,[2],19
True,True,"[0, 2]",21
True,False,[2],27
False,True,"[0, 1]",18
loss,params,iteration,estimators,train_time
False,False,"[0, 3]",2
True,True,"[0, 3]",3
False,True,"[1, 3]",22
True,False,"[0, 3]",10
False,True,[3],18
True,True,"[1, 3]",17
False,False,[3],10
True,True,"[1, 3]",31
False,False,"[1, 3]",32
False,False,[3],35
loss,params,iteration,estimators,train_time
True,False,"[0, 1]",17
False,False,[0],16
True,False,[0],18
True,False,"[0, 1]",48
True,True,[0],31
True,False,"[0, 1]",26
True,True,"[0, 1]",20
False,True,"[0, 1]",11
True,False,[0],1
False,False,"[0, 1]",31
loss,params,iteration,estimators,train_time
False,False,[2],35
False,True,[2],8
False,True,[2],8
True,True,"[2, 3]",10
False,True,[2],25
False,True,"[0, 2]",13
True,False,"[1, 2]",37
True,True,[2],24
True,False,[3],32
True,False,"[1, 3]",31
loss,params,iteration,estimators,train_time
loss,params,iteration,estimators,train_time
loss,params,iteration,estimators,train_time
loss,params,iteration,estimators,train_time
loss,params,iteration,estimators,train_time
loss,params,iteration,estimators,train_time
False,True,"[2, 3]",9
False,False,"[1, 3]",43
False,True,"[2, 3]",49
False,True,"[2, 3]",12
False,True,[3],6
True,False,"[1, 3]",34
True,False,[3],26
False,False,[3],9
False,True,[3],23
False,False,[3],28
loss,params,iteration,estimators,train_time
True,True,"[1, 3]",33
True,True,"[2, 3]",16
True,False,[3],6
True,False,"[2, 3]",16
False,False,[3],29
True,False,"[0, 3]",7
True,False,[3],42
True,True,"[1, 3]",36
False,False,[3],16
False,False,[3],20
loss,params,iteration,estimators,train_time
True,True,[3],4
True,False,[3],44
False,False,[3],12
True,True,[3],40
True,True,[3],41
True,False,"[1, 3]",14
False,False,"[2, 3]",19
False,True,[3],12
True,True,"[1, 3]",32
True,False,[3],24
loss,params,iteration,estimators,train_time
True,True,"[1, 3]",40
False,True,"[2, 3]",4
True,False,[3],11
True,False,[3],2
True,True,[3],30
True,True,[3],47
False,False,"[2, 3]",19
True,False,"[1, 3]",34
False,True,[3],46
